state,fatalCrashes,nonFatalCrashes,totalCrashes,fatalInjuries,seriousInjuries,fatalCrashesWithReportedFatalInjuries,population,fatalCrashesPer100kResidents,nonFatalCrashesPer100kResidents,totalCrashesPer100kResidents,estimatedFlightHours,fatalPer100kFlightHours,nonFatalPer100kFlightHours,totalPer100kFlightHours
Connecticut,13,58,71,28,23,13,3605944.0,0.3605,1.6085,1.969,280807.0,4.6295,20.6548,25.2843
Puerto Rico,7,24,31,9,7,7,3285874.0,0.213,0.7304,0.9434,123844.0,5.6523,19.3792,25.0315
Massachusetts,15,74,89,27,17,15,7029917.0,0.2134,1.0526,1.266,477319.0,3.1426,15.5033,18.6458
North Dakota,12,50,62,16,13,12,779094.0,1.5403,6.4177,7.958,341150.0,3.5175,14.6563,18.1738
Louisiana,48,139,187,77,29,48,4657757.0,1.0305,2.9843,4.0148,1017293.0,4.7184,13.6637,18.3821
Delaware,4,15,19,5,4,4,989948.0,0.4041,1.5152,1.9193,212119.0,1.8857,7.0715,8.9572
Atlantic Ocean,10,4,14,17,0,10,,,,,,,,
Caribbean Sea,1,0,1,4,0,1,,,,,,,,
Gulf of America,2,0,2,2,0,2,,,,,,,,
Other Foreign,11,14,25,25,4,11,,,,,,,,
Pacific Ocean,3,5,8,3,4,3,,,,,,,,
Unknown,114,86,200,292,44,114,,,,,,,,
